(102, 116)
(105, 148)
(105, 140)
(111, 152)
(118, 161)
(138, 168)
(160, 173)
(171, 189)
(181, 230)
(184, 277)
(186, 297)
(193, 306)
(203, 316)
(221, 326)
(223, 334)
(232, 344)
(237, 356)
(250, 367)
(270, 377)
(293, 406)
(310, 412)
(318, 424)
(336, 433)
(361, 464)
(378, 480)
(381, 493)
(392, 506)
(404, 511)
(415, 524)
(419, 536)
(425, 551)
(431, 573)
(439, 577)
(444, 591)
(447, 602)
(460, 617)
(462, 626)
(468, 633)
(487, 635)
(503, 639)
(520, 647)
(527, 650)
(539, 655)
(548, 665)
(561, 673)
(572, 677)
(582, 693)
(585, 706)
(598, 706)
(607, 708)
(622, 713)
(630, 717)
(650, 737)
(674, 753)
(682, 756)
(727, 766)
(741, 770)
(771, 789)
(787, 799)
(800, 804)
(816, 808)
(846, 809)
(865, 811)
(885, 811)
(897, 814)
(912, 815)
(931, 821)
(938, 831)
(946, 835)
(952, 847)
(958, 860)
(961, 874)
(969, 879)
(975, 899)
(987, 909)
(996, 918)
(1012, 921)
(1039, 932)
(1088, 945)
(1100, 954)
(1123, 965)
(1136, 983)
(1160, 993)
(1189, 1041)
(1200, 1073)
(1245, 1076)
(1268, 1085)
(1282, 1089)
(1295, 1098)
(1304, 1100)
(1313, 1102)
(1320, 1106)
(1328, 1107)
(1337, 1119)
(1353, 1125)
(1359, 1150)
(1361, 1164)
(1374, 1181)
(1384, 1191)
(1395, 1195)
